rank,team,implied_ppg,avg_game_total,shootout_rate,low_total_rate,score
1,Dallas Cowboys,25.74,50.32,88.2%,0.0%,3.12
2,Cincinnati Bengals,25.97,49.09,64.7%,0.0%,2.67
3,Los Angeles Rams,26.49,48.50,47.1%,0.0%,2.55
4,Detroit Lions,26.09,48.62,58.8%,0.0%,2.54
5,Buffalo Bills,26.06,48.62,58.8%,0.0%,2.53
6,Baltimore Ravens,25.93,47.97,52.9%,0.0%,2.26
7,San Francisco 49ers,25.16,47.56,29.4%,0.0%,1.58
8,Green Bay Packers,24.93,47.03,29.4%,0.0%,1.36
9,Chicago Bears,24.53,47.50,29.4%,0.0%,1.30
10,Washington Commanders,23.38,48.21,47.1%,0.0%,1.18
11,Indianapolis Colts,23.37,47.85,35.3%,0.0%,0.96
12,Seattle Seahawks,24.82,45.62,11.8%,0.0%,0.79
13,Tampa Bay Buccaneers,23.34,46.85,35.3%,0.0%,0.72
14,Jacksonville Jaguars,23.26,46.15,29.4%,11.8%,0.29
15,New England Patriots,23.76,45.21,17.6%,5.9%,0
16,Kansas City Chiefs,24.03,45.21,11.8%,11.8%,0.19
17,Los Angeles Chargers,23.74,45.32,17.6%,11.8%,0.16
18,Philadelphia Eagles,23.97,45.03,11.8%,11.8%,0.13
19,New York Giants,22.03,46.03,17.6%,11.8%,-0.39
20,Minnesota Vikings,22.53,45.09,5.9%,5.9%,-0.44
21,New Orleans Saints,21.49,44.85,11.8%,5.9%,-0.87
22,Atlanta Falcons,21.16,45.38,17.6%,17.6%,-0.99
23,Houston Texans,22.74,43.44,0.0%,29.4%,-1.15
24,Tennessee Titans,20.65,44.79,17.6%,17.6%,-1.34
25,Denver Broncos,22.40,43.09,0.0%,29.4%,-1.38
26,Carolina Panthers,20.69,43.91,0.0%,17.6%,-1.73
27,Pittsburgh Steelers,21.43,43.44,0.0%,35.3%,-1.79
28,Arizona Cardinals,18.56,45.56,11.8%,5.9%,-1.93
29,Miami Dolphins,19.03,44.91,5.9%,17.6%,-2.12
30,Oakland Raiders,19.13,42.97,0.0%,35.3%,-2.86
31,New York Jets,18.56,41.97,0.0%,64.7%,-3.76
32,Cleveland Browns,18.76,41.32,0.0%,64.7%,-3.82
